,season,price_AUS,price_CHF,price_CZE,price_GER,price_ESP,price_FRA,price_UK,price_ITA,price_POL,price_SVK
0,1,-0.5197569166158356,9.644027877268496,-1.6862480951361345,-1.7480763846576997,-3.666005401185653,-3.1764356161760325,-1.822719793809122,-3.931031226630509,-0.7968540165808501,-3.238196806151894
1,2,-0.689415693468333,7.246060839801865,-2.132376793025196,-2.054362689375965,-3.295697362768889,-4.104758711201375,-1.826020734538732,-3.1430005019858207,-0.8184744443286671,-3.212894038068976
2,0,-2.101936612395246,7.620084525124941,-1.910282322098292,-0.3790585541391145,-3.3887770425186,-3.3964699790509334,-2.0344094633004044,-4.07384968174626,-0.5682604746546991,-3.1140608060213903
3,3,-2.098474794138846,8.411894126184295,-1.9038339152889736,-0.1463331725069416,-3.5882350230573223,-3.286865844957435,-2.214720237603755,-4.018619529985996,-2.3308025781329693,-0.1378576946844266
4,1,-1.9696869696919452,8.926884394111717,-1.6972571746624916,-1.331048774194998,-4.393997496111439,-3.911095754248923,-2.38809158801026,-4.093945694376051,-0.7968540165808501,-0.6315686748077824
5,2,-1.9352094271584743,8.10471937234669,-1.4884336952919652,-0.8992260879707853,-3.878786087919237,-3.831496736527165,-2.2755841185122176,-4.014349398025618,-0.8184744443286671,-1.4283233652118716
6,0,-1.4572315340014128,7.00274869273368,-0.1136866353121963,-1.005940953799607,-4.217286651633469,-3.8531985374491153,-2.322982317589682,-3.697377974082677,-0.5682604746546991,-1.0003706017601286
7,3,-0.48023362868087627,5.502235709529939,-0.8942214643414823,-0.1463331725069416,-4.789650666172494,-3.5184141090444907,-2.756391569895237,-3.60208823579142,-1.7797232632967352,-0.1378576946844266
8,1,-1.0446879644068474,4.574785482261416,0.1662364086774529,-0.5322937147507442,-4.858777849885247,-2.997490240619498,-3.12758663472625,-2.7153030691837388,-1.5871058642346836,-0.6315686748077824
12,1,-0.5197569166158356,3.0469961344722107,0.736983248535596,0.232536042066983,-4.393997496111439,-2.3989984081305518,-1.8976416135331613,-2.4233391322169298,-0.6357740610395879,-0.6845211510680758
14,0,0.9461377533994731,3.584367236029898,-0.1136866353121963,0.6161840012351536,-4.425275526259369,-3.3964699790509334,-3.6168717881258408,-1.8006838247733026,0.034567730248679,-0.0435032790627411
16,1,1.031778915823039,3.721767642221423,0.1662364086774529,-0.2308147557275019,-5.27195480797859,-3.1764356161760325,-3.618985396209085,-1.637349594683082,0.6018626331160297,0.6242571581025388
17,2,-0.689415693468333,3.79414698388256,1.433521104010195,0.7457878228885948,-5.451017854060707,-1.878176791853158,-3.744401921339149,-3.1430005019858207,-0.8184744443286671,0.8735425903395403
18,0,-0.7763009638753797,3.266980883060494,1.3845881863454088,0.9587981034085808,-5.278573876667105,-1.7678958369345632,-1.9238335038879213,-1.5536232356890105,0.8830042968964598,-1.0003706017601286
19,3,1.1009274023100082,3.4668867132347483,0.2456344130585222,-0.1463331725069416,-5.027142233497003,-1.7662034716409034,-3.5674392051787853,-1.500143255250014,-1.0669981915833655,1.2547174450949514
20,1,1.0108596640476697,2.8148107603151264,1.4516726961795698,0.8190902793381342,-4.393997496111439,-1.752711074202162,-1.8976416135331613,-2.7153030691837388,1.375760366034972,1.427309440865876
24,1,0.4082786106414721,1.335295972022428,0.1662364086774529,-0.2308147557275019,-4.393997496111439,-1.8777746232360677,-3.092516341828481,-1.735759966873297,1.704809262146274,1.7402005644737937
25,2,0.4867756295705759,1.1317951046244883,0.0536306971197663,0.5603031917650766,-4.237861484418774,-3.5847795079115437,-1.8702292900261128,-1.5385400294570166,1.78010600246361,1.9797329443709488
27,3,0.2191391806167177,1.6902297571323182,1.1058485762232322,-0.1463331725069416,-4.626107801926116,-2.059009566064077,-2.621036356998386,-1.7450238819186743,-1.0669981915833655,1.6941407585327888
28,1,0.1095983653851277,1.5301266726728715,0.9293176324073774,0.3007445653092523,-4.393997496111439,-2.017647293521581,-1.8976416135331613,-1.851587475900483,-0.7968540165808501,1.6968644890877795
29,2,0.0373233861473287,1.5088762028743556,0.8927587548716098,-0.8992260879707853,-4.237861484418774,-2.198776367264788,-2.697578454411551,-3.1430005019858207,1.952039267048628,1.8417082620860985
30,0,-0.7763009638753797,1.5134813996543524,1.0254945816841912,-0.3790585541391145,-4.425275526259369,-1.863081168798029,-2.5548122187491256,-1.850256996375297,1.870602956405343,1.649334510547913
32,1,-0.0511127071361477,1.618505423656197,0.8202124819359101,-0.2308147557275019,-3.775810573071461,-3.1764356161760325,-2.788183044978283,-1.891426866763884,-0.7968540165808501,1.8813386527269025
33,2,-0.151213750806446,1.3301385556334535,0.7504452455953603,0.233891293412802,-4.237861484418774,-3.5847795079115437,-1.8702292900261128,-1.8998029052138947,1.851404528202392,1.943121843784368
34,0,-0.7763009638753797,2.3039015964254808,0.9249408262380436,-0.0465506938864908,-3.923151365271629,-3.3964699790509334,-2.8226055356619537,-1.8502484345716008,-0.5682604746546991,1.9428854632998744
35,3,-0.48023362868087627,1.5755812740312525,0.8963394110776262,0.1746739648199989,-3.852039051923127,-3.286865844957435,-2.707586459355941,-1.9608115423452408,-1.0669981915833655,1.8205738601007568
36,1,-0.5197569166158356,1.7857495359382094,0.1662364086774529,-0.2308147557275019,-3.929835946170917,-2.158591714170003,-2.7880184976445257,-2.0373937713074337,2.038057257430414,1.8134850384856975
37,2,-0.0334459745674506,1.5074535703513736,0.9792804915553436,-0.8992260879707853,-4.237861484418774,-1.9942607021466765,-2.9608746102562,-3.1430005019858207,1.8075920172099331,1.8588272406392896
39,3,0.1507716705706284,1.0390225025982782,0.9614580420804596,0.3540023016626829,-4.626107801926116,-1.858650078272227,-2.7276081159102827,-2.937887424006305,-1.0669981915833655,1.9296960277332929
40,1,-0.5197569166158356,1.4410742475633989,0.1662364086774529,-0.2308147557275019,-4.052762281493507,-1.7393382969857272,-2.860847664627152,-1.6355641275186843,1.7533828742521147,1.7192646985829334
41,2,0.4175679875274857,1.8495513496450973,0.0536306971197663,0.207092558597104,-4.197432983401207,-1.8911426799721205,-2.9095535598022964,-3.1430005019858207,1.7481404867636745,-1.4283233652118716
43,3,0.4575224551800061,1.5508801494415918,1.1591080609880635,0.6661476553564977,-4.30501054527735,-3.286865844957435,-1.8975101404984505,-1.646208510103411,-1.0669981915833655,1.6510281554550064
