Id,y
50100,1.7995384
50101,2.5213394
50102,1.6586478
50103,2.36815
50104,1.7186401
50105,1.398783
50106,2.049219
50107,2.3196855
50108,1.9908338
50109,1.9535415
50110,1.4379737
50111,1.7663934
50112,1.377718
50113,1.7472968
50114,1.7912657
50115,2.2156236
50116,1.5582755
50117,1.7766478
50118,2.0819535
50119,1.7002637
50120,2.0478346
50121,2.2202098
50122,1.0131731
50123,1.8736305
50124,1.5587606
50125,1.7604849
50126,1.6782935
50127,1.9361665
50128,1.310221
50129,1.9499066
50130,2.1098576
50131,2.08208
50132,1.6206622
50133,1.5608785
50134,1.8398721
50135,2.1332407
50136,1.6192074
50137,1.6921949
50138,1.7307692
50139,1.5870683
50140,1.9374712
50141,2.5287585
50142,1.8636813
50143,1.7081399
50144,1.7465589
50145,1.8469427
50146,1.7397938
50147,2.1964033
50148,1.9608533
50149,1.8443267
50150,1.400022
50151,1.5675478
50152,1.475697
50153,2.1023417
50154,1.5835869
50155,2.2894862
50156,2.150706
50157,1.3180475
50158,1.6798484
50159,1.1198769
50160,1.5920343
50161,2.231015
50162,2.3390741
50163,2.384052
50164,1.6994121
50165,1.4127598
50166,1.4196537
50167,1.6914499
50168,1.8128998
50169,1.2003546
50170,2.063018
50171,2.3302166
50172,1.5972114
50173,2.1641502
50174,2.0497987
50175,1.6463499
50176,2.3996418
50177,2.5814636
50178,2.1561556
50179,1.9009428
50180,2.5740273
50181,1.9295886
50182,2.142052
50183,1.4391544
50184,2.420966
50185,1.5681305
50186,2.4330838
50187,2.4386637
50188,2.4411614
50189,2.260713
50190,2.5121922
50191,2.2687201
50192,2.2698562
50193,2.3777115
50194,1.873421
50195,1.8356607
50196,2.0729284
50197,1.8881142
50198,2.06869
50199,2.198317
50200,1.7769325
50201,2.5445213
50202,1.4627781
50203,1.6429462
50204,1.5096316
50205,1.3601065
50206,2.0261784
50207,1.9910767
50208,1.9717534
50209,1.4301805
50210,1.9603469
50211,1.303621
50212,1.8891706
50213,2.2735782
50214,1.8942943
50215,1.4754052
50216,1.4769244
50217,1.5971525
50218,1.8634884
50219,2.3877528
50220,2.3695223
50221,2.3495767
50222,2.2436435
50223,1.9396257
50224,1.7014227
50225,2.4335325
50226,1.9937682
50227,2.3400006
50228,1.7235019
50229,2.2130191
50230,1.894635
50231,1.8136694
50232,2.40137
50233,2.4647923
50234,1.7216907
50235,1.4895775
50236,1.7379193
50237,1.6340935
50238,1.9051642
50239,2.2485359
50240,2.0816197
50241,1.1992798
50242,2.1999562
50243,1.8082409
50244,1.4883664
50245,1.8320384
50246,2.283113
50247,1.3216057
50248,2.5772815
50249,2.3428245
50250,2.316317
50251,1.727149
50252,2.2025697
50253,2.190023
50254,1.7439651
50255,1.879529
50256,2.1978989
50257,1.9604032
50258,1.5669539
50259,2.060083
50260,1.0054426
50261,2.1123142
50262,1.9851468
50263,1.6146176
50264,1.3016961
50265,1.6636996
50266,1.7019951
50267,2.410167
50268,1.6436508
50269,1.5301151
50270,2.3449695
50271,1.9507709
50272,2.1492472
50273,2.1964765
50274,2.0145895
50275,1.3711429
50276,1.7995386
50277,1.5823264
50278,1.4389887
50279,1.6221569
50280,2.1150987
50281,1.4385924
50282,2.3212013
50283,2.3167455
50284,1.8068419
50285,1.6411009
50286,1.6768768
50287,2.4229767
50288,2.3098001
50289,1.521096
50290,2.2062182
50291,2.3640995
50292,1.5701101
50293,2.282935
50294,1.5919974
50295,1.9268856
50296,2.3271716
50297,1.589318
50298,1.8844562
50299,2.3006563
50300,1.8869085
50301,1.8792052
50302,2.4117022
50303,2.1681552
50304,1.8372266
50305,0.7711644
50306,1.217922
50307,1.9879129
50308,2.1001198
50309,1.3630881
50310,2.3932207
50311,2.0171723
50312,2.252711
50313,2.3750381
50314,1.6133561
50315,1.8342936
50316,1.4730368
50317,1.5731215
50318,1.9913418
50319,2.147205
50320,2.1805165
50321,1.9017837
50322,2.5317707
50323,1.3264015
50324,1.8336837
50325,2.1642613
50326,2.0524952
50327,1.893038
50328,1.8890755
50329,1.9001663
50330,1.9185934
50331,1.9513886
50332,1.3847187
50333,1.6398354
50334,1.7997904
50335,1.6085465
50336,2.1913776
50337,1.2516844
50338,1.8721995
50339,1.8634658
50340,1.8287587
50341,1.4024699
50342,2.043939
50343,1.2164853
50344,1.9782443
50345,2.1031928
50346,1.1180239
50347,2.2811573
50348,1.9594314
50349,1.2050295
50350,2.2737734
50351,1.8028765
50352,1.8490107
50353,1.4033113
50354,1.5688853
50355,1.7589812
50356,2.0195773
50357,2.1091917
50358,2.0161734
50359,1.7546802
50360,2.1390407
50361,1.9740381
50362,1.7658546
50363,1.63606
50364,1.7047524
50365,1.4071066
50366,2.2664175
50367,1.5807304
50368,2.3581765
50369,2.5442886
50370,2.4558733
50371,2.2916327
50372,1.8472824
50373,1.6960711
50374,1.6882432
50375,1.9166796
50376,2.2627695
50377,1.2128992
50378,2.2983575
50379,1.8717232
50380,2.0551598
50381,2.0214572
50382,2.2540867
50383,2.0907545
50384,2.1626575
50385,1.9001708
50386,1.5620162
50387,2.1727648
50388,1.6434658
50389,2.3500545
50390,1.570322
50391,2.1196446
50392,1.9618762
50393,1.7719712
50394,1.5029006
50395,1.6357234
50396,2.3239121
50397,1.698206
50398,1.556494
50399,1.8433309
50400,2.2702332
