Id,y
50100,1.8995233
50101,2.2994623
50102,1.7256529
50103,2.2895615
50104,1.6232102
50105,1.499449
50106,2.2198024
50107,2.2746441
50108,1.7885773
50109,1.8973963
50110,1.6076605
50111,1.747091
50112,1.331243
50113,1.6888993
50114,1.8028593
50115,2.2830238
50116,1.5033519
50117,1.9617381
50118,2.153554
50119,1.6773124
50120,2.0629282
50121,2.3603733
50122,1.0181317
50123,1.9160864
50124,1.5718861
50125,2.0137792
50126,1.6264
50127,1.7214231
50128,1.3243508
50129,1.9433835
50130,2.0130782
50131,2.106286
50132,1.7190433
50133,1.7280977
50134,1.7763848
50135,2.209538
50136,1.7298522
50137,1.8407907
50138,1.6271541
50139,1.4783595
50140,2.0586977
50141,2.331558
50142,1.9583781
50143,1.3919041
50144,1.8093057
50145,2.2250204
50146,1.7901447
50147,2.1820993
50148,1.9814925
50149,1.6311328
50150,1.5365176
50151,1.597461
50152,1.3597662
50153,2.291611
50154,1.7024486
50155,2.154834
50156,2.0681295
50157,1.0734377
50158,1.8784165
50159,1.1736705
50160,1.7637668
50161,2.3375943
50162,2.2034028
50163,2.309656
50164,1.7313688
50165,1.385499
50166,1.2878735
50167,1.6622038
50168,1.718797
50169,1.2243423
50170,1.911982
50171,2.0824842
50172,1.4023097
50173,2.204431
50174,2.1638803
50175,1.784863
50176,2.3830779
50177,2.304558
50178,2.2065482
50179,1.7763257
50180,2.4660492
50181,1.9712083
50182,2.1327193
50183,1.1004901
50184,2.338342
50185,1.3729811
50186,2.221489
50187,2.405786
50188,2.3222764
50189,2.4078202
50190,2.3837018
50191,2.2745633
50192,2.1368058
50193,2.264316
50194,1.828635
50195,1.5454917
50196,2.2569578
50197,2.037501
50198,2.236287
50199,2.483273
50200,1.8805776
50201,2.5858397
50202,1.7553716
50203,1.7380881
50204,1.4844232
50205,1.4028316
50206,1.9239812
50207,1.9552085
50208,1.8811684
50209,1.8475771
50210,2.0461688
50211,1.3520961
50212,2.1217575
50213,2.3461401
50214,1.8836558
50215,1.6388793
50216,1.3940821
50217,1.6343501
50218,1.791775
50219,2.2624092
50220,2.2504454
50221,2.170219
50222,2.0621972
50223,1.8870587
50224,1.717196
50225,2.187301
50226,1.7855539
50227,2.3067906
50228,1.7933466
50229,2.1461427
50230,1.8774562
50231,1.7079308
50232,2.2544758
50233,2.3535635
50234,1.675215
50235,1.4205112
50236,1.5984774
50237,1.7129536
50238,1.8532267
50239,2.1985302
50240,2.0276651
50241,1.0283225
50242,2.3582315
50243,1.7560923
50244,1.4951596
50245,1.6865411
50246,2.3801746
50247,1.1708417
50248,2.6627455
50249,2.185907
50250,2.2315342
50251,1.5303395
50252,2.2080557
50253,2.0769083
50254,1.7810721
50255,1.6453316
50256,2.1037865
50257,1.7572348
50258,1.6266489
50259,2.1880581
50260,1.0148692
50261,2.2244408
50262,1.8549902
50263,1.5347738
50264,1.1290946
50265,1.6306958
50266,1.9156563
50267,2.5033796
50268,1.79127
50269,1.5778549
50270,2.397843
50271,2.0160587
50272,2.081434
50273,2.3187985
50274,2.0118182
50275,1.2084093
50276,2.0530813
50277,1.5575519
50278,1.473701
50279,1.7946091
50280,2.1734862
50281,1.4906931
50282,2.218594
50283,2.119308
50284,1.7790685
50285,1.3630533
50286,1.84461
50287,2.4547372
50288,2.336218
50289,1.2732832
50290,2.0628393
50291,2.2550085
50292,1.4804888
50293,2.3856926
50294,1.5691211
50295,1.7185373
50296,2.3968012
50297,1.9635923
50298,2.0017245
50299,2.3992484
50300,1.6852608
50301,2.0214972
50302,2.3086078
50303,2.0917366
50304,1.6993032
50305,2.002348
50306,0.9604845
50307,1.9548278
50308,2.1631289
50309,1.2364097
50310,2.422833
50311,1.9387298
50312,2.4060407
50313,2.221859
50314,1.5178428
50315,1.9062357
50316,1.5312085
50317,1.5529459
50318,2.1184685
50319,2.1737792
50320,2.0759597
50321,2.1446154
50322,2.2532895
50323,1.1542935
50324,1.804385
50325,2.0411334
50326,1.9122157
50327,1.8794146
50328,1.7457149
50329,1.6793804
50330,1.8772383
50331,1.9022362
50332,1.3501549
50333,1.6002331
50334,1.8712697
50335,1.7571046
50336,2.1944537
50337,1.2535262
50338,1.889792
50339,1.8062081
50340,1.5624077
50341,1.6073575
50342,1.9929907
50343,1.3330977
50344,1.9179583
50345,2.0501893
50346,1.0814791
50347,2.2686641
50348,2.1092846
50349,1.1921988
50350,2.190111
50351,1.7379305
50352,1.8428617
50353,1.4503956
50354,1.3161843
50355,1.7414701
50356,2.0147493
50357,2.1652617
50358,1.8735621
50359,1.6537943
50360,2.0220757
50361,1.9807796
50362,1.7841353
50363,1.811975
50364,1.5580451
50365,1.3388102
50366,2.232812
50367,1.6993306
50368,2.288836
50369,2.3970056
50370,2.422183
50371,2.3397176
50372,1.8285758
50373,1.8317099
50374,1.8246987
50375,1.9153438
50376,2.204077
50377,0.89199495
50378,2.1429985
50379,1.8347692
50380,1.7752495
50381,1.9150884
50382,2.4206386
50383,2.052064
50384,2.1182532
50385,2.1198347
50386,1.5153921
50387,2.2848852
50388,1.5273938
50389,2.1422963
50390,1.431421
50391,2.0593204
50392,1.8229542
50393,1.8073821
50394,1.4936991
50395,1.719521
50396,2.4725556
50397,1.7024188
50398,1.5144114
50399,1.7568493
50400,2.2921262
50401,1.8214524
50402,1.581373
50403,2.0574975
50404,1.9539106
50405,2.1873314
50406,2.318757
50407,2.1999483
50408,2.1850486
50409,1.5280311
50410,1.7201316
